Column3,Column4,Column7,Column8,Column9,Column10,Column11,Column12,Column14,Column15,Column16
10/14/20,PLEASE FLOW TEST NEW HYDRANT @  MEETING ST & AVALON PARK BLVD,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
10/19/20,Please perform FH flow test FH 2-469,PPM,HYDRANT,PPM,FLOWTEST,2.,44.42,0.00,26.82,71.24
10/23/20,Depression in the Ground,PPM,HYDRANT,REQUEST,INSPECT,3.,66.63,0.00,40.23,106.86
10/23/20,Map# 493,PPM,HYDRANT,PPM,INSPECT,0.,0.00,0.00,0.00,0.00
10/26/20,LEAKING HYDRANT ,NOT-WORK,HYDRANT,REQUEST,REPAIRED,2.,44.42,0.00,26.82,71.24
10/27/20,Please perform FH flow test @ FH 25-453,PPM,HYDRANT,REQUEST,FLOWTEST,2.,44.42,0.00,26.82,71.24
10/29/20,Potable/Reuse Meter Installation,INSTALL,FLOMETER,REQUEST,REPAIRED,1.5,42.04,19.92,34.83,96.79
10/30/20,"PLEASE INSTALL 2"" JUMPER METER 10-05-2020 @ PET LANE & SCARBOROUGH DR. PLEASE CO",INSTALL,BFPREV,REQUEST,INSPECT,7.5,248.17,0.00,170.67,418.84
10/30/20,Map 613,PPM,HYDRANT,PPM,FLOWTEST,0.,0.00,70.73,0.00,"86,211.73"
10/30/20,"PLEASE PROCESS 2"" JUMPER METER",INSPECT,BFPREV,REQUEST,INSPECT,5.5,176.29,0.00,125.68,301.97
11/03/20,Please flow FH 3-501 using FH 4-501 as residual,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
11/03/20,FOUND METER BROKEN IN HALF,INSTALL,FLOMETER,REQUEST,REPAIRED,1.,29.60,0.00,23.22,52.82
11/03/20,Map# 475,PPM,HYDRANT,PPM,REPAIRED,6.,139.02,91.05,80.46,310.54
11/04/20,Map# 471,PPM,HYDRANT,PPM,REPAIRED,0.,0.00,0.00,0.00,0.00
11/18/20,HYDRANT REPAIR,NOT-WORK,HYDRANT,HIT-FAIL,REPAIRED,7.,154.57,0.00,134.10,288.67
11/18/20,Please flow test FH 25-472,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
11/19/20,"Please flow test FH 15- 328, using FH 3-328 for residual",PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
11/19/20,Please flow test FH 10-502 Mirada,PPM,HYDRANT,REQUEST,FLOWTEST,2.,46.34,0.00,26.82,73.16
11/19/20,Please perform FH flow test @HYD 23-502 Mirada,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
11/20/20,Please flow test FH 7-436 using FH 6-436 as residual,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
11/20/20,Please flow test FH 13-436 using FH 14-436 as residual ,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,12.78,59.12
11/20/20,"Please check hydrant, seems valve is stripped. Off",NOT-WORK,HYDRANT,AGE-FAIL,REPAIRED,10.,231.71,91.05,134.10,456.86
11/20/20,Please flow test FH 11-565 using FH 10 as residual,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
11/20/20,Please perform FH flow test @ FH 6-469,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
11/20/20,Potable/Reuse Meter Installation,INSPECT,HYDRANT,REQUEST,INSPECT,4.,88.84,0.00,53.64,142.48
11/30/20,Water Break/Leak Repair/Investigation,INSPECT,HYDRANT,REQUEST,INSPECT,2.,52.10,0.00,26.82,78.92
12/01/20,Please flow test FH 3-434 using FH 2-434 as residual,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
12/01/20,Please flow test FH 4-434 using FH 5-434 as residual,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
12/01/20,Please flow test FH 2-434 residual from 1-434,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
12/02/20,Please flow test FH 99002- 304,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
12/02/20,PLEASE INSTALL JUMPER AT SR 56 & BARRELMAN BLVD. PCU# 06-241.10,INSTALL,FLOMETER,REQUEST,INSPECT,4.,131.47,0.00,91.72,223.19
12/03/20,UNION PARK GIS,PPM,HYDRANT,PPM,INSPECT,272.,"6,114.86",0.00,"3,500.01","9,614.87"
12/03/20,STRAIGHTEN &TURN FIRE HYDRANT,PPM,HYDRANT,PPM,REPAIRED,4.,92.68,0.00,53.64,146.32
12/04/20,Please perform FH flow test @ FH 2-286,PPM,HYDRANT,PPM,FLOWTEST,2.,46.83,0.00,26.82,73.65
12/07/20,REPLACE HYDRANT / MAP 646 HYD # 1,NOT-WORK,HYDRANT,AGE-FAIL,REPLACED,73.,"1,733.97","2,881.89","1,584.27","6,200.13"
12/09/20,Please flow test FH 2-507,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,54.92,26.82,128.08
12/10/20,Please flow test FH 3-285 using FH 4-285 as residual,INSPECT,HYDRANT,REQUEST,FLOWTEST,0.,0.00,0.00,0.00,0.00
12/10/20,"Fire Hydrant Maint (Inspect, Install, Remove, Service, Plug, Straighten)",PPM,HYDRANT,PPM,REPAIRED,4.,92.68,0.00,53.64,146.32
12/10/20,Please flow test FH 3-285 using FH 4-285 as residual,PPM,HYDRANT,REQUEST,FLOWTEST,4.,114.74,0.00,53.64,168.38
12/15/20,Please flow test FH S of SR 56 & Barrelman and residual from next hyd south,PPM,HYDRANT,PPM,FLOWTEST,4.,92.68,0.00,53.64,146.32
12/16/20,REPORTED HYDRANT ISSUE,LEAK,HYDRANT,REQUEST,INSPECT,4.,92.68,0.00,53.64,146.32
12/21/20,MAP 544 / HYD # 17 HYDRANT REPAIR,PPM,HYDRANT,PPM,REPAIRED,30.5,702.06,0.00,348.66,"1,050.72"
12/22/20,Please flow test FH C-546 SR 56 using next hydrant south on Oxbow,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
12/29/20,Please flow test FH 0-546 Oxbow SR 56,PPM,HYDRANT,PPM,FLOWTEST,4.,92.68,0.00,53.64,146.32
01/04/21,Please perform FH flow test @ FH 2-486,PPM,HYDRANT,PPM,FLOWTEST,1.5,28.68,0.00,40.23,68.91
01/04/21,Please flow test hyd @ Barrelman Blvd & SR 56/Residual accross 56(N side),PPM,HYDRANT,PPM,FLOWTEST,7.,162.19,0.00,93.87,256.06
01/06/21,PLEASE INSTALL JUMPER AT SR 56 & OXBOW BLVD. PCU# 06-241.10.,INSTALL,FLOMETER,REQUEST,INSPECT,5.5,182.40,0.00,125.97,308.37
01/06/21,PLEASE INSTALL JUMPER AT SR 56 & STERNCASTLE CROSSING. PCU# 06-241.10.,INSTALL,FLOMETER,REQUEST,INSPECT,5.,167.60,0.00,114.36,281.96
01/06/21,JUMPER METER - CORNER OF SR 54 & WESLEY CHAPEL BLVD,INSPECT,BFPREV,REQUEST,INSPECT,8.5,290.79,0.00,148.61,439.40
01/06/21,Please perform Hyd flow test @ FH 15 using 14 as residual,PPM,HYDRANT,PPM,FLOWTEST,4.,92.68,0.00,53.64,146.32
01/06/21,Please schedule flow tests for entire map 564,PPM,HYDRANT,PPM,FLOWTEST,57.,"1,265.90",0.00,885.06,"2,150.96"
01/06/21,Please locate and mark water service (rear easement) 36907 Kiowa Ave,LOCATE,FLOMETER,REQUEST,INSPECT,4.,109.43,0.00,58.05,167.48
01/07/21,Please perform flow test @ 99001-286/ Residual from 99002,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
01/08/21,2'' JUMPER-MTR INSPECT,INSTALL,FLOMETER,REQUEST,INSPECT,2.,59.21,0.00,46.44,105.65
01/08/21,Please flow test FH 17-483-Simultaneous with 6-522,PPM,HYDRANT,PPM,FLOWTEST,5.,131.04,0.00,63.45,194.49
01/08/21,"Please flow test FH 6-522, (simultaneous with FH 17-483)",PPM,HYDRANT,PPM,FLOWTEST,7.,177.38,0.00,90.27,267.65
01/11/21,GIS NEW AQUISITIONS,PPM,HYDRANT,PPM,INSPECT,34.,837.69,0.00,576.63,"1,414.32"
01/11/21,Map 492,PPM,HYDRANT,PPM,REPAIRED,12.,278.05,182.44,160.92,621.41
01/11/21,GIS HYDRANTS ,PPM,HYDRANT,PPM,INSPECT,32.,715.95,0.00,522.99,"1,238.94"
01/13/21,Please perform FH flow test @ FH 43-585,PPM,HYDRANT,PPM,FLOWTEST,4.,92.68,0.00,53.64,146.32
01/15/21,Please perform FH flow test @ FH 1-607,PPM,HYDRANT,REQUEST,FLOWTEST,2.,46.34,0.00,26.82,73.16
01/15/21,LEAKING HYDRANT / MAP 629 HYD # 3,PPM,HYDRANT,PPM,REPAIRED,4.,92.68,17.40,53.64,163.73
01/19/21,"Please flow test FH 33-418,",PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
01/21/21,Simultaneous flow test SR 56 between entrance to Winding Ridge- See comments,PPM,HYDRANT,PPM,FLOWTEST,16.,365.50,0.00,203.76,569.26
01/21/21,MAP 608 HYD # 11,PPM,HYDRANT,PPM,INSPECT,2.,46.34,0.00,26.82,73.16
01/21/21,TO SEE IF COMING BACK TO COVER HOLE NEAR HYD 48 MAP 529,INSPECT,HYDRANT,REQUEST,INSPECT,2.,100.29,0.00,45.28,145.57
01/22/21,Please perform flow test @ FH 4-385,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
01/27/21,Please flow test FH 8-471,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
01/27/21,Please flow test FH 5-453/Residual from FH 4-453,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
01/28/21,"Please run simultaneous flow tests, maps 326 & 327 (Details in comments section)",PPM,HYDRANT,PPM,FLOWTEST,6.,110.48,0.00,80.46,190.94
01/28/21,"Simultaneous flow test needed @ Magnolia Trace Blvd, Willow Bend",PPM,HYDRANT,PPM,FLOWTEST,6.,110.48,0.00,80.46,190.94
01/29/21,SPECIFY WORK NEEDED !!!,INSTALL,HYDRANT,TAMPER,INSPECT,1.,35.48,0.00,0.00,35.48
02/02/21,Please flow test FH 18-607 (SR 54) using FH 8-607 (Allen Rd),PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
02/03/21,POSSIBLE UNAUTHORIZED USE OF HYDRANT,INSTALL,HYDRANT,REQUEST,INSPECT,3.5,92.02,0.00,40.23,132.25
02/04/21,POSSIBLE HYDRANT LEAK,INSPECT,HYDRANT,NCM,INSPECT,2.5,58.04,0.00,33.53,91.57
02/23/21,Please flow test FH 17- 473,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
02/23/21,Please flow test FH 12-473,PPM,HYDRANT,PPM,FLOWTEST,1.,27.22,0.00,26.82,54.04
02/24/21,HYDRANT REPAIR / HYD #4-403,PPM,HYDRANT,PPM,REPAIRED,13.5,319.18,96.12,227.97,643.27
02/24/21,FLOW TEST HYD #1,PPM,HYDRANT,PPM,FLOWTEST,4.,82.52,0.00,53.64,136.16
02/24/21,Please perform FH flow test @ FH 4-453,PPM,HYDRANT,PPM,FLOWTEST,5.,55.35,0.00,67.05,122.40
02/24/21,HYDRANT REPAIR,PPM,HYDRANT,PPM,REPAIRED,7.,144.40,0.00,93.87,238.27
02/24/21,HYDRANT REPAIR,PPM,HYDRANT,PPM,REPAIRED,4.,82.52,0.00,53.64,136.16
02/24/21,HYDRANT REPAIR / REPLACE,NOT-WORK,HYDRANT,HIT-FAIL,REPAIRED,80.5,"1,984.40",113.00,"1,534.53","3,631.93"
02/25/21,Potable/Reuse Meter Installation,PPM,HYDRANT,PPM,INSPECT,2.,46.34,0.00,26.82,73.16
02/28/21,Leak / Break @ Fire hydrant ,BREAK,HYDRANT,AGE-FAIL,REPAIRED,150.8,"3,310.54","1,028.98","1,932.12","6,271.64"
03/01/21,2'' JUMPER METER-SR 56 & OXBOW; SR 56 & STERN CASTLE CROSSING; SR 56,INSPECT,BFPREV,REQUEST,INSPECT,3.,95.34,0.00,69.08,164.42
03/01/21,INSTALL JUMPER METER,INSPECT,BFPREV,REQUEST,INSPECT,3.,101.86,0.00,68.50,170.36
03/01/21,INSTALL JUMPER METER,INSPECT,BFPREV,REQUEST,INSPECT,2.,65.73,0.00,45.86,111.59
03/02/21,Map#525 ,PPM,HYDRANT,PPM,INSPECT,16.,401.32,0.00,26.82,428.14
03/02/21,Map#526,PPM,HYDRANT,PPM,INSPECT,6.,146.45,0.00,0.00,146.45
03/02/21,Please perform flow test @ FH 2-526,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,80.46,126.80
03/03/21,Map# 418,PPM,HYDRANT,PPM,REPAIRED,5.,115.85,0.00,93.87,209.72
03/03/21,Please flow test FH 4-562 with 5-562 as residual,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
03/04/21,Please flow test FH 8-527 ,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
03/04/21,Map #439,PPM,HYDRANT,PPM,REPAIRED,13.,301.22,91.22,174.33,566.77
03/08/21,Please schedule simultaneous flow tests SR 56,PPM,HYDRANT,PPM,FLOWTEST,6.4,120.69,0.00,44.08,164.76
03/08/21,"CUSTOMER PAID FOR JUMPER.  RIPA, CONTACT BEN STAFFORD, 813-373-8607",INSTALL,FLOMETER,REQUEST,INSPECT,10.,348.24,0.00,204.92,553.16
03/08/21,"PLEASE INSTALL 2"" JUMPER METER, PCU # 19-103.98, MAP # 418, SITE CONTACT MAT MCK",INSPECT,BFPREV,REQUEST,INSPECT,6.,203.73,0.00,137.00,340.73
03/08/21,"Please perform flow test @ FH 1-344, Parkway Blvd",PPM,HYDRANT,PPM,FLOWTEST,3.4,83.20,0.00,44.34,127.54
03/08/21,"PLEASE INSTALL 2"" JUMPER METER, PCU# 20-103.41, MAP # 470, SITE CONTACT HUMBERTO",INSPECT,FLOMETER,REQUEST,INSPECT,5.,164.33,0.00,114.65,278.98
03/09/21,MAP 469 HYD # 11 / HYDRANT REPAIR,BREAK,HYDRANT,PPM,REPAIRED,8.,254.32,91.22,153.72,499.27
03/10/21,hydrant struck by car,PPM,HYDRANT,PPM,REPAIRED,34.,675.88,0.00,503.83,"1,179.71"
03/10/21,Map# 436,PPM,HYDRANT,PPM,REPAIRED,4.,92.68,98.90,53.64,245.22
03/10/21,HYDRANT LEAKING,PPM,HYDRANT,PPM,REPAIRED,2.,46.34,0.00,26.82,73.16
03/10/21,"PLEASE INSTALL 2"" HYDRANT METER (cancel)",INSTALL,FLOMETER,REQUEST,INSPECT,2.,59.21,0.00,46.44,105.65
03/15/21,Please assess concrete poured onto hydrant,PPM,HYDRANT,PPM,REPAIRED,3.,69.51,0.00,40.23,109.74
03/15/21,Please flow test FH 51-563,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
03/18/21,GIS FIRE HYDRANTS WEST OF MORRIS BRIDGE RD.,PPM,HYDRANT,PPM,INSPECT,36.,836.82,0.00,482.76,"1,319.58"
03/18/21,  HYDRANT LEAK,PPM,HYDRANT,PPM,INSPECT,2.,54.44,0.00,53.64,108.08
03/18/21,Map# 430,PPM,HYDRANT,PPM,REPAIRED,6.,139.02,4.38,80.46,223.87
03/18/21,Map# 434,PPM,HYDRANT,PPM,REPAIRED,6.,139.02,91.22,80.46,310.71
03/18/21,Potable/Reuse Meter Installation,PPM,HYDRANT,PPM,REPAIRED,3.,69.51,0.00,40.23,109.74
03/19/21,Please flow test FH 1-402,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
03/22/21,Please perform flow test FH 22-465,PPM,HYDRANT,PPM,FLOWTEST,2.,46.34,0.00,26.82,73.16
